Date,Product_ID,Product_Name,Warehouse,Quantity_On_Hand,Quantity_Reserved,Quantity_Available,Reorder_Point,Reorder_Quantity,Unit_Cost,Total_Value,Last_Received,Next_Expected,Status
2024-12-01,PROD-81713,Product 9476,Warehouse-South,837,35,802,26,129,1068.71,894510.27,2024-11-02,2024-12-13,Normal
2024-12-01,PROD-27186,Product 9298,Warehouse-South,582,27,555,65,71,545.1,317248.2,2024-11-15,2024-12-19,Reorder Required
2024-12-01,PROD-76593,Product 4948,Warehouse-West,432,18,414,98,118,1825.27,788516.64,2024-11-17,2025-01-14,Normal
2024-12-01,PROD-72999,Product 9877,Warehouse-Midwest,243,8,235,90,53,1831.12,444962.16,2024-11-11,2024-12-18,Normal
2024-12-01,PROD-18330,Product 4382,Warehouse-Central,231,16,215,32,115,1530.6,353568.6,2024-11-22,2024-12-04,Low Stock
2024-12-01,PROD-07160,Product 1971,Warehouse-South,694,29,665,88,155,1529.69,1061604.86,2024-11-05,2024-12-05,Normal
2024-12-01,PROD-26637,Product 9915,Warehouse-East,526,8,518,31,89,1559.09,820081.34,2024-11-24,2025-01-15,Normal
2024-12-01,PROD-27538,Product 9509,Warehouse-South,42,22,20,57,73,1667.79,70047.18,2024-11-14,2024-12-29,Low Stock
2024-12-01,PROD-51599,Product 6264,Warehouse-South,591,45,546,67,200,1744.27,1030863.57,2024-11-28,2024-12-25,Overstocked
2024-12-01,PROD-34464,Product 3170,Warehouse-Midwest,890,35,855,68,198,1905.77,1696135.3,2024-11-21,2024-12-15,Overstocked
2024-12-01,PROD-96442,Product 8136,Warehouse-West,785,39,746,76,182,1611.87,1265317.95,2024-11-11,2024-12-06,Reorder Required
2024-12-01,PROD-76783,Product 5686,Warehouse-South,846,3,843,42,190,692.62,585956.52,2024-11-20,2024-12-29,Reorder Required
2024-12-01,PROD-36332,Product 9443,Warehouse-Midwest,81,4,77,77,120,158.67,12852.27,2024-11-17,2025-01-11,Overstocked
2024-12-01,PROD-26058,Product 3600,Warehouse-South,380,12,368,61,143,50.87,19330.6,2024-11-10,2024-12-24,Overstocked
2024-12-01,PROD-30487,Product 2884,Warehouse-Midwest,325,34,291,82,168,891.3,289672.5,2024-11-15,2024-12-03,Normal
2024-12-01,PROD-01487,Product 7437,Warehouse-West,987,24,963,87,61,400.49,395283.63,2024-11-14,2024-12-22,Normal
2024-12-01,PROD-05388,Product 9378,Warehouse-North,21,7,14,71,119,297.77,6253.17,2024-11-02,2024-12-29,Low Stock
2024-12-01,PROD-25804,Product 5756,Warehouse-West,871,32,839,29,182,1753.79,1527551.09,2024-11-06,2025-01-15,Overstocked
2024-12-01,PROD-58001,Product 4019,Warehouse-South,288,24,264,40,163,1435.73,413490.24,2024-11-12,2025-01-15,Low Stock
2024-12-01,PROD-04951,Product 4212,Warehouse-South,497,32,465,84,53,1664.85,827430.45,2024-11-12,2024-12-05,Normal
2024-12-01,PROD-17258,Product 1938,Warehouse-Central,768,49,719,45,141,261.96,201185.28,2024-11-03,2025-01-12,Reorder Required
2024-12-01,PROD-24902,Product 3553,Warehouse-South,994,2,992,60,110,713.91,709626.54,2024-11-11,2024-12-03,Normal
2024-12-01,PROD-51037,Product 9889,Warehouse-South,226,5,221,91,160,514.55,116288.3,2024-11-15,2024-12-29,Normal
2024-12-01,PROD-87454,Product 2782,Warehouse-North,430,22,408,24,173,37.56,16150.8,2024-11-22,2024-12-25,Normal
2024-12-01,PROD-74349,Product 9847,Warehouse-North,32,9,23,31,130,683.07,21858.24,2024-11-06,2024-12-20,Low Stock
2024-12-01,PROD-47758,Product 4706,Warehouse-North,141,22,119,71,77,1521.16,214483.56,2024-11-11,2024-12-02,Normal
2024-12-01,PROD-74420,Product 9015,Warehouse-Midwest,249,25,224,30,162,168.32,41911.68,2024-11-17,2025-01-07,Overstocked
2024-12-01,PROD-85606,Product 6536,Warehouse-South,912,16,896,33,142,31.88,29074.56,2024-11-07,2024-12-31,Overstocked
2024-12-01,PROD-67736,Product 8926,Warehouse-North,666,32,634,100,170,1286.16,856582.56,2024-11-16,2025-01-04,Normal
2024-12-01,PROD-98215,Product 8339,Warehouse-Central,938,32,906,98,199,1950.75,1829803.5,2024-11-03,2025-01-04,Low Stock
2024-12-01,PROD-98172,Product 7005,Warehouse-Central,177,45,132,71,110,1459.73,258372.21,2024-11-17,2024-12-03,Reorder Required
2024-12-01,PROD-74564,Product 4777,Warehouse-South,948,33,915,48,84,255.53,242242.44,2024-11-13,2025-01-05,Normal
2024-12-01,PROD-22543,Product 9927,Warehouse-North,600,48,552,86,128,1200.68,720408.0,2024-11-03,2024-12-26,Normal
2024-12-01,PROD-44011,Product 2475,Warehouse-East,431,2,429,72,143,943.74,406751.94,2024-11-11,2024-12-22,Normal
2024-12-01,PROD-29456,Product 2495,Warehouse-North,716,11,705,25,122,1671.31,1196657.96,2024-11-18,2024-12-24,Normal
2024-12-01,PROD-55125,Product 7970,Warehouse-East,555,5,550,98,199,1941.66,1077621.3,2024-11-28,2025-01-08,Low Stock
2024-12-01,PROD-79279,Product 8236,Warehouse-East,441,15,426,30,151,1733.56,764499.96,2024-11-24,2025-01-10,Normal
2024-12-01,PROD-30422,Product 7276,Warehouse-South,131,35,96,20,115,318.86,41770.66,2024-11-02,2025-01-10,Reorder Required
2024-12-01,PROD-43230,Product 4216,Warehouse-East,577,35,542,30,142,1282.25,739858.25,2024-11-23,2024-12-21,Normal
2024-12-01,PROD-29546,Product 8662,Warehouse-South,816,2,814,67,74,1789.26,1460036.16,2024-11-29,2024-12-28,Reorder Required
2024-12-01,PROD-72392,Product 8030,Warehouse-Central,927,37,890,67,177,311.56,288816.12,2024-11-07,2024-12-05,Overstocked
2024-12-01,PROD-28160,Product 1764,Warehouse-Central,731,37,694,39,172,884.64,646671.84,2024-11-13,2024-12-20,Reorder Required
2024-12-01,PROD-13007,Product 3080,Warehouse-East,272,29,243,45,132,804.42,218802.24,2024-11-28,2024-12-06,Low Stock
2024-12-01,PROD-20852,Product 8082,Warehouse-East,736,28,708,69,77,1481.92,1090693.12,2024-11-28,2024-12-26,Reorder Required
2024-12-01,PROD-78971,Product 6355,Warehouse-West,257,29,228,90,74,106.8,27447.6,2024-11-09,2024-12-30,Normal
2024-12-01,PROD-71262,Product 7514,Warehouse-South,876,35,841,38,114,1014.04,888299.04,2024-11-07,2025-01-12,Low Stock
2024-12-01,PROD-82266,Product 7174,Warehouse-Midwest,695,43,652,45,189,96.98,67401.1,2024-11-10,2025-01-01,Normal
2024-12-01,PROD-36059,Product 3700,Warehouse-Central,488,41,447,26,94,1907.88,931045.44,2024-11-17,2024-12-29,Normal
2024-12-01,PROD-99254,Product 1374,Warehouse-East,233,13,220,43,199,181.25,42231.25,2024-11-16,2025-01-13,Normal
2024-12-01,PROD-09519,Product 5927,Warehouse-East,719,13,706,84,119,562.35,404329.65,2024-11-19,2024-12-20,Low Stock
2024-12-01,PROD-64109,Product 5024,Warehouse-Central,377,36,341,69,119,265.7,100168.9,2024-11-24,2024-12-15,Normal
2024-12-01,PROD-09468,Product 1710,Warehouse-North,265,50,215,56,158,1720.56,455948.4,2024-11-23,2025-01-07,Low Stock
2024-12-01,PROD-57746,Product 5764,Warehouse-East,384,47,337,28,114,1130.53,434123.52,2024-11-30,2024-12-26,Normal
2024-12-01,PROD-88861,Product 4090,Warehouse-North,817,3,814,93,190,898.27,733886.59,2024-11-17,2025-01-11,Normal
2024-12-01,PROD-21802,Product 8060,Warehouse-North,413,14,399,91,105,574.88,237425.44,2024-11-02,2024-12-26,Low Stock
2024-12-01,PROD-16535,Product 9281,Warehouse-Midwest,153,50,103,54,117,1506.48,230491.44,2024-11-18,2025-01-05,Low Stock
2024-12-01,PROD-04672,Product 3027,Warehouse-West,268,49,219,47,196,925.68,248082.24,2024-11-01,2024-12-08,Normal
2024-12-01,PROD-34249,Product 1537,Warehouse-Midwest,666,28,638,78,137,325.63,216869.58,2024-11-20,2024-12-04,Normal
2024-12-01,PROD-66208,Product 7807,Warehouse-West,735,18,717,51,124,1695.9,1246486.5,2024-11-29,2024-12-22,Normal
2024-12-01,PROD-16467,Product 8852,Warehouse-Central,590,11,579,25,188,1328.9,784051.0,2024-11-09,2024-12-18,Normal
2024-12-01,PROD-41341,Product 3573,Warehouse-Central,221,37,184,100,117,201.84,44606.64,2024-11-17,2024-12-14,Overstocked
2024-12-01,PROD-97863,Product 5788,Warehouse-North,658,3,655,68,186,1447.25,952290.5,2024-11-07,2024-12-10,Reorder Required
2024-12-01,PROD-82529,Product 4583,Warehouse-West,696,9,687,58,185,394.57,274620.72,2024-11-29,2024-12-18,Reorder Required
2024-12-01,PROD-38487,Product 5528,Warehouse-Central,425,30,395,58,144,214.24,91052.0,2024-11-09,2024-12-07,Normal
2024-12-01,PROD-64707,Product 3298,Warehouse-South,332,1,331,70,73,553.02,183602.64,2024-11-10,2024-12-12,Reorder Required
2024-12-01,PROD-93412,Product 2878,Warehouse-Midwest,286,45,241,56,61,1818.83,520185.38,2024-11-01,2024-12-15,Normal
2024-12-01,PROD-42063,Product 4543,Warehouse-West,610,6,604,21,91,1909.13,1164569.3,2024-11-21,2025-01-09,Low Stock
2024-12-01,PROD-42896,Product 4596,Warehouse-West,629,49,580,67,173,1542.13,969999.77,2024-11-12,2024-12-04,Normal
2024-12-01,PROD-62050,Product 6452,Warehouse-East,531,27,504,64,61,1416.35,752081.85,2024-11-16,2025-01-09,Overstocked
2024-12-01,PROD-19053,Product 2480,Warehouse-Midwest,709,35,674,27,142,90.69,64299.21,2024-11-09,2024-12-27,Normal
2024-12-01,PROD-09467,Product 7399,Warehouse-North,767,7,760,92,176,1085.33,832448.11,2024-11-25,2024-12-24,Overstocked
2024-12-01,PROD-75955,Product 8745,Warehouse-West,797,33,764,85,106,1846.65,1471780.05,2024-11-24,2024-12-08,Normal
2024-12-01,PROD-78306,Product 7910,Warehouse-North,115,2,113,65,200,962.09,110640.35,2024-11-13,2024-12-17,Overstocked
2024-12-01,PROD-36532,Product 3589,Warehouse-West,252,22,230,89,178,1763.71,444454.92,2024-11-29,2024-12-27,Overstocked
2024-12-01,PROD-42282,Product 3726,Warehouse-South,783,12,771,48,137,53.05,41538.15,2024-11-18,2024-12-08,Overstocked
2024-12-01,PROD-72025,Product 9756,Warehouse-South,749,0,749,25,180,249.79,187092.71,2024-11-18,2025-01-06,Normal
2024-12-01,PROD-01305,Product 7006,Warehouse-West,377,50,327,85,193,719.62,271296.74,2024-11-28,2024-12-10,Normal
2024-12-01,PROD-74381,Product 4522,Warehouse-West,922,44,878,91,94,74.11,68329.42,2024-11-26,2025-01-03,Normal
2024-12-01,PROD-60899,Product 3863,Warehouse-Midwest,859,13,846,33,61,1459.67,1253856.53,2024-11-05,2025-01-08,Low Stock
2024-12-01,PROD-67681,Product 6152,Warehouse-West,127,22,105,87,196,1702.41,216206.07,2024-11-01,2025-01-14,Overstocked
2024-12-01,PROD-63918,Product 7481,Warehouse-East,14,7,7,64,186,44.05,616.7,2024-11-08,2024-12-29,Low Stock
2024-12-01,PROD-41710,Product 7972,Warehouse-Midwest,101,1,100,70,91,1282.92,129574.92,2024-11-20,2025-01-15,Normal
2024-12-01,PROD-73454,Product 8791,Warehouse-South,684,33,651,23,143,1869.5,1278738.0,2024-11-16,2024-12-09,Overstocked
2024-12-01,PROD-54228,Product 5509,Warehouse-South,749,34,715,77,139,1389.06,1040405.94,2024-11-01,2024-12-12,Overstocked
2024-12-01,PROD-19381,Product 3454,Warehouse-East,599,20,579,87,95,404.84,242499.16,2024-11-09,2024-12-26,Normal
2024-12-01,PROD-28033,Product 4374,Warehouse-West,348,0,348,100,77,1957.75,681297.0,2024-11-06,2024-12-04,Reorder Required
2024-12-01,PROD-22753,Product 9654,Warehouse-East,436,6,430,60,164,50.13,21856.68,2024-11-30,2024-12-30,Normal
2024-12-01,PROD-90619,Product 6714,Warehouse-North,101,41,60,71,62,644.93,65137.93,2024-11-16,2024-12-25,Low Stock
2024-12-01,PROD-86356,Product 7255,Warehouse-South,493,26,467,26,74,1513.55,746180.15,2024-11-13,2024-12-05,Low Stock
2024-12-01,PROD-21893,Product 9669,Warehouse-North,863,30,833,41,126,754.99,651556.37,2024-11-20,2024-12-27,Reorder Required
2024-12-01,PROD-60779,Product 6604,Warehouse-West,549,18,531,55,102,1231.4,676038.6,2024-11-12,2024-12-02,Normal
2024-12-01,PROD-66532,Product 8280,Warehouse-North,310,27,283,44,52,1075.04,333262.4,2024-11-27,2024-12-06,Normal
2024-12-01,PROD-43763,Product 4533,Warehouse-Midwest,787,41,746,37,57,133.94,105410.78,2024-11-22,2025-01-03,Normal
2024-12-01,PROD-90175,Product 6390,Warehouse-Midwest,84,39,45,67,66,951.04,79887.36,2024-11-05,2024-12-10,Low Stock
2024-12-01,PROD-01101,Product 7856,Warehouse-Midwest,987,45,942,65,76,1211.86,1196105.82,2024-11-04,2024-12-26,Normal
2024-12-01,PROD-83958,Product 9460,Warehouse-East,565,50,515,83,125,1580.63,893055.95,2024-11-21,2024-12-19,Normal
2024-12-01,PROD-13737,Product 1031,Warehouse-West,720,46,674,99,54,909.59,654904.8,2024-11-09,2025-01-05,Low Stock
2024-12-01,PROD-01521,Product 6459,Warehouse-Midwest,457,22,435,64,149,1479.33,676053.81,2024-11-04,2024-12-17,Reorder Required
2024-12-01,PROD-08581,Product 3070,Warehouse-North,828,25,803,67,177,1397.21,1156889.88,2024-11-21,2024-12-21,Reorder Required
2024-12-01,PROD-27106,Product 8792,Warehouse-West,475,19,456,61,191,923.05,438448.75,2024-11-06,2025-01-08,Normal
2024-12-01,PROD-71627,Product 2046,Warehouse-North,455,3,452,74,102,203.2,92456.0,2024-11-22,2024-12-15,Normal
2024-12-01,PROD-20711,Product 4146,Warehouse-Central,638,11,627,67,117,72.26,46101.88,2024-11-13,2024-12-19,Low Stock
2024-12-01,PROD-02137,Product 5311,Warehouse-Midwest,146,50,96,24,69,1402.88,204820.48,2024-11-23,2024-12-15,Normal
2024-12-01,PROD-24834,Product 2311,Warehouse-East,421,32,389,80,192,1150.82,484495.22,2024-11-06,2024-12-09,Normal
2024-12-01,PROD-38270,Product 9179,Warehouse-Midwest,615,44,571,32,185,1509.92,928600.8,2024-11-16,2025-01-12,Reorder Required
2024-12-01,PROD-21260,Product 8361,Warehouse-West,201,39,162,66,185,1485.12,298509.12,2024-11-13,2025-01-13,Low Stock
2024-12-01,PROD-90118,Product 8314,Warehouse-South,878,48,830,80,151,1981.37,1739642.86,2024-11-16,2024-12-14,Low Stock
2024-12-01,PROD-75015,Product 3872,Warehouse-South,482,33,449,43,143,722.53,348259.46,2024-11-07,2025-01-13,Overstocked
2024-12-01,PROD-63627,Product 9812,Warehouse-North,948,38,910,67,134,1053.94,999135.12,2024-11-06,2024-12-23,Normal
2024-12-01,PROD-35637,Product 5339,Warehouse-North,657,14,643,91,101,1339.12,879801.84,2024-11-16,2024-12-08,Normal
2024-12-01,PROD-20081,Product 8139,Warehouse-West,410,31,379,33,123,332.68,136398.8,2024-11-25,2024-12-15,Normal
2024-12-01,PROD-36898,Product 3371,Warehouse-East,286,33,253,40,121,1541.0,440726.0,2024-11-02,2024-12-23,Normal
2024-12-01,PROD-86917,Product 6323,Warehouse-Central,887,44,843,44,183,335.47,297561.89,2024-11-16,2025-01-06,Normal
2024-12-01,PROD-34766,Product 6398,Warehouse-South,407,13,394,68,157,456.28,185705.96,2024-11-02,2025-01-01,Normal
2024-12-01,PROD-05337,Product 1479,Warehouse-West,879,0,879,90,108,857.35,753610.65,2024-11-19,2024-12-24,Overstocked
2024-12-01,PROD-80185,Product 8697,Warehouse-West,86,28,58,51,118,1542.64,132667.04,2024-11-11,2024-12-18,Reorder Required
2024-12-01,PROD-95974,Product 6993,Warehouse-Central,767,20,747,86,159,488.35,374564.45,2024-11-26,2024-12-24,Low Stock
2024-12-01,PROD-90873,Product 2361,Warehouse-East,956,47,909,51,161,1587.82,1517955.92,2024-11-04,2024-12-26,Normal
2024-12-01,PROD-62071,Product 5453,Warehouse-West,127,35,92,54,119,1709.38,217091.26,2024-11-13,2024-12-22,Normal
2024-12-01,PROD-89881,Product 6633,Warehouse-East,131,47,84,33,195,1767.32,231518.92,2024-11-29,2024-12-12,Normal
2024-12-01,PROD-75068,Product 4363,Warehouse-Midwest,611,40,571,21,102,1285.82,785636.02,2024-11-18,2025-01-09,Reorder Required
2024-12-01,PROD-87802,Product 9702,Warehouse-Midwest,680,11,669,54,196,1412.84,960731.2,2024-11-02,2025-01-08,Normal
2024-12-01,PROD-64695,Product 1459,Warehouse-West,93,16,77,88,142,394.69,36706.17,2024-11-13,2024-12-15,Low Stock
2024-12-01,PROD-92452,Product 2304,Warehouse-Midwest,885,39,846,75,71,462.76,409542.6,2024-11-21,2025-01-13,Normal
2024-12-01,PROD-51546,Product 5292,Warehouse-Central,511,25,486,38,196,654.06,334224.66,2024-11-30,2024-12-20,Normal
2024-12-01,PROD-20495,Product 6747,Warehouse-West,209,44,165,29,155,916.33,191512.97,2024-11-09,2024-12-28,Normal
2024-12-01,PROD-84555,Product 8425,Warehouse-Midwest,23,15,8,25,62,1374.0,31602.0,2024-11-04,2025-01-12,Low Stock
2024-12-01,PROD-74351,Product 2033,Warehouse-Central,875,8,867,100,73,985.17,862023.75,2024-11-30,2024-12-19,Overstocked
2024-12-01,PROD-94362,Product 7383,Warehouse-Central,89,20,69,73,166,1124.63,100092.07,2024-11-18,2024-12-27,Low Stock
2024-12-01,PROD-37317,Product 1693,Warehouse-South,462,26,436,60,93,294.58,136095.96,2024-11-27,2025-01-11,Normal
2024-12-01,PROD-62576,Product 7120,Warehouse-Midwest,315,25,290,92,191,1669.92,526024.8,2024-11-01,2025-01-06,Normal
2024-12-01,PROD-58931,Product 6927,Warehouse-South,296,37,259,84,89,731.31,216467.76,2024-11-29,2024-12-26,Reorder Required
2024-12-01,PROD-23660,Product 8374,Warehouse-Midwest,336,35,301,60,188,353.36,118728.96,2024-11-03,2025-01-09,Normal
2024-12-01,PROD-49915,Product 8600,Warehouse-South,522,20,502,38,152,1927.08,1005935.76,2024-11-21,2024-12-04,Reorder Required
2024-12-01,PROD-90260,Product 9569,Warehouse-East,610,9,601,34,168,932.16,568617.6,2024-11-08,2024-12-22,Normal
2024-12-01,PROD-99332,Product 2184,Warehouse-North,751,27,724,50,109,530.84,398660.84,2024-11-17,2025-01-13,Low Stock
2024-12-01,PROD-29024,Product 5763,Warehouse-North,774,13,761,33,104,102.68,79474.32,2024-11-08,2025-01-13,Normal
2024-12-01,PROD-87717,Product 6513,Warehouse-Midwest,248,37,211,41,58,1228.02,304548.96,2024-11-18,2024-12-29,Normal
2024-12-01,PROD-28302,Product 4337,Warehouse-North,737,7,730,27,64,1352.96,997131.52,2024-11-07,2024-12-12,Normal
2024-12-01,PROD-90745,Product 8812,Warehouse-West,458,27,431,29,163,198.66,90986.28,2024-11-08,2025-01-14,Normal
